,programmer,contest,round,WordUnigramTF,numTokens,numTernary,numKeywords,avgParams,numFunctions,numComments,avgLineLength,stdDevLineLength,numTabs,numSpaces,numEmptyLines,whiteSpaceRatio,newLineBeforeOpenBrace,tabsLeadLines,cppKeywords,MaxDepthASTNode,branchingFactor,ASTNodeBigramsTF,CodeInASTLeavesTF
10,ksun48,LTIME110A,STRINGXOR,119,0.16573816155988857,0.011142061281337047,0.004178272980501393,0,0.005571030640668524,0.0,23.161290322580644,14.121812855829369,0.0,0.28969359331476324,0.0,2,False,False,31,405,0.8053691275167785,242,120
11,tute7627,LTIME110A,STRINGXOR,622,0.08539264140582098,0.006864360241625481,0.0006864360241625481,0,0.004393190554640308,0.0002745744096650192,44.96296296296296,35.553800110986195,0.0,0.08951125755079627,0.0,8,False,False,381,3965,0.8217170768363705,2096,911
12,heno239,LTIME110A,STRINGXOR,1025,0.17086181030171696,0.007667944657442907,0.000833472245374229,0,0.0028338056342723785,0.0021670278379729954,24.892116182572614,16.039007820632765,0.0,0.24137356226037673,0.0,3,False,False,269,1957,0.8278564206268959,1469,626
13,rubikun,LTIME110A,STRINGXOR,122,0.10243492863140219,0.01343408900083963,0.0033585222502099076,0,0.005037783375314861,0.0,22.471698113207548,17.292820817709085,0.0,0.24937027707808565,0.0,2,False,False,51,360,0.8278221208665907,319,153
14,gennady.korotkevich,LTIME110A,BINHAPP,1358,0.19311717861205915,0.005688282138794084,0.0005688282138794084,0,0.0004266211604095563,0.0004266211604095563,25.294964028776977,18.40509518029799,0.0,0.29835039817974973,0.0,2,False,False,246,4087,0.809695973705834,2441,1169
15,noimi,LTIME110A,BINHAPP,4067,0.13834274440438124,0.005374515273147833,0.00017007959725151372,0,0.001972923328117559,0.0010204775835090823,38.9893899204244,34.34641582464109,0.0,0.3236274576501803,0.0,2,False,False,1070,8711,0.829672006102212,5075,2219
16,maroonrk,LTIME110A,BINHAPP,952,0.08781477723457246,0.008117332349414261,0.00046121206530762846,0,0.0024905451526611934,0.0013836361959228853,23.263948497854077,14.908197930174007,0.0,0.2553269993543031,0.0,2,False,False,414,3813,0.8324459234608985,2266,937
17,ksun48,LTIME110A,BINHAPP,756,0.1567489114658926,0.006427534729421522,0.0010366991499066972,0,0.0026954177897574125,0.0018660584698320546,27.24858757062147,16.189740447121327,0.0,0.37694381090607504,0.0,1,False,False,156,1615,0.8595121951219512,1428,605
18,tute7627,LTIME110A,BINHAPP,1069,0.10356520054253052,0.007266033714396435,0.000484402247626429,0,0.0034876961829102887,0.0005812826971517147,36.217543859649126,31.218556800470722,0.0,0.14299554349932184,0.0,5,False,False,474,3965,0.8347088491517652,3271,1406
19,heno239,LTIME110A,BINHAPP,1431,0.17080448794461686,0.006087371687753641,0.0005968011458582001,0,0.0019097636667462401,0.0019097636667462401,26.09968847352025,15.828600043661586,0.0,0.2896872761995703,0.0,2,False,False,328,3925,0.8373116641273066,2166,894
20,rubikun,LTIME110A,BINHAPP,1762,0.11048407323802358,0.005706044645096564,0.0003135189365437672,0,0.00200652119388011,0.0006897416603962879,32.81481481481482,17.810001659800175,0.0,0.40926761976423376,0.0,1,False,False,490,5834,0.8285348688419706,3528,1706
21,noimi,LTIME110A,TREERET,3314,0.1318742538798249,0.005013927576601671,0.00019896538002387584,0,0.0018702745722244329,0.0008356545961002785,40.663430420711975,36.44573022539999,0.0,0.33955431754874654,0.0,2,False,False,895,4355,0.8197625106022053,3878,1735
22,ksun48,LTIME110A,TREERET,1004,0.10895279435702658,0.008572978838849702,0.0005425935973955507,0,0.0026044492674986435,0.000759631036353771,31.131756756756758,17.36588196358783,0.0,0.42452523060227887,0.0,1,False,False,323,2591,0.8611455108359133,2188,955
23,tute7627,LTIME110A,TREERET,719,0.08204952641789341,0.007417551066986192,0.0005705808513066301,0,0.0050211114914983455,0.0005705808513066301,37.77155172413793,32.248288663587765,0.0,0.11696907451785918,0.0,6,False,False,413,3965,0.8237099839204794,2739,1248
24,maroonrk,LTIME110A,TREERET,695,0.08793016194331983,0.009362348178137652,0.0005060728744939271,0,0.0025303643724696357,0.00037955465587044535,21.834254143646408,14.237532614218516,0.0,0.21014676113360323,0.0,3,False,False,374,1906,0.8369970966403982,1888,848
25,heno239,LTIME110A,TREERET,1280,0.14951524354631468,0.006774909473192384,0.0005840439201027917,0,0.003270645952575634,0.002336175680411167,27.439102564102566,16.335705245298577,0.0,0.3107113654946852,0.0,2,False,False,332,3915,0.846477215402724,2130,913
26,gennady.korotkevich,LTIME110A,TREERET,279,0.13426371511068336,0.007218479307025986,0.0019249278152069298,0,0.004331087584215592,0.00048123195380173246,23.885057471264368,13.497914089473676,0.0,0.3224254090471607,0.0,2,False,False,65,861,0.8212100611828688,596,299
27,rubikun,LTIME110A,TREERET,308,0.07380781212556914,0.009345794392523364,0.000958543014617781,0,0.002156721782890007,0.0016774502755811168,23.845714285714287,13.880888050165396,0.0,0.30913012221423436,0.0,2,False,False,155,1459,0.823076923076923,1205,553
28,gennady.korotkevich,LTIME45,COOMILK,81,0.19058823529411764,0.009411764705882352,0.007058823529411765,0,0.002352941176470588,0.0,19.318181818181817,13.958986560102565,0.0,0.30823529411764705,0.0,2,False,False,16,203,0.8038674033149171,146,73
29,petr,LTIME45,COOMILK,196,0.09082483781278962,0.0018535681186283596,0.0018535681186283596,0,0.006024096385542169,0.0004633920296570899,33.2,18.699403528126034,0.0,0.30120481927710846,0.0,2,False,False,60,314,0.7850678733031674,225,103
30,gennady.korotkevich,LTIME45,QHOUSE,186,0.21330275229357798,0.01261467889908257,0.0045871559633027525,0,0.0011467889908256881,0.0,18.5531914893617,9.321237500342962,0.0,0.31536697247706424,0.0,2,False,False,31,393,0.8172043010752689,290,153
31,petr,LTIME45,QHOUSE,311,0.10687285223367697,0.003436426116838488,0.0010309278350515464,0,0.004467353951890034,0.0003436426116838488,33.44827586206897,17.15765880439514,0.0,0.388659793814433,0.0,1,False,False,64,500,0.8109504132231405,406,207
32,gennady.korotkevich,LTIME45,BRIBETR,286,0.18487394957983194,0.007756948933419522,0.0019392372333548805,0,0.0019392372333548805,0.0,24.171875,16.27455326527813,0.0,0.29347123464770525,0.0,2,False,False,64,771,0.8096192384769539,575,286
33,petr,LTIME45,BRIBETR,438,0.10643985419198056,0.002430133657351154,0.0007290400972053463,0,0.0029161603888213854,0.00024301336573511544,41.15,23.3175363192598,0.0,0.38323207776427703,0.0,1,False,False,112,753,0.8173391494002181,694,302
34,gennady.korotkevich,LTIME103A,NOL_LESS,2265,0.15012925034798172,0.004308344932723537,0.0003314111486710413,0,0.004308344932723537,0.00026512891893683304,32.44516129032258,28.387141251187057,0.0,0.19957579372970108,0.0,3,False,False,680,5059,0.8080589254766031,2789,1209
35,spycheese,LTIME103A,NOL_LESS,2813,0.19850398701573635,0.0058570319666925415,0.00035283325100557477,0,0.0020464328558323338,0.0001411333004022299,41.43567251461988,32.65530077938601,0.0,0.21967398207607086,0.0,3,False,False,978,7183,0.8024297948615814,4014,1716
36,ksun48,LTIME103A,NOL_LESS,2423,0.14649334945586456,0.004353083434099154,0.0002418379685610641,0,0.0034461910519951633,0.00042321644498186214,35.493562231759654,24.867566855282025,0.0,0.2786577992744861,0.0,2,False,False,670,6677,0.8275555555555556,5243,2354
37,noimi,LTIME103A,NOL_LESS,4988,0.1436263641337211,0.0057300814880935245,0.00014397189668576693,0,0.0021307840709493507,0.0009790088974632153,36.48004201680672,32.243519653755236,0.0,0.30876212963229577,0.0,2,False,False,1549,8719,0.8183910906489144,6273,2831
38,rubikun,LTIME103A,NOL_LESS,3734,0.12037395228884591,0.004577691811734365,0.00016118633139909736,0,0.002514506769825919,0.0007736943907156673,36.323185011709604,19.206470932659183,0.0,0.413571889103804,0.0,1,False,False,1450,11747,0.8217213114754098,6048,2721
39,maroonrk,LTIME103A,NOL_LESS,1549,0.07375136885206875,0.005618245012617245,0.00019044898347855068,0,0.00204732657239442,0.001999714326524782,26.619771863117872,16.91295584711939,0.0,0.24586963767080894,0.0,3,False,False,868,3811,0.8007836990595611,2649,1113
40,tute7627,LTIME103A,NOL_LESS,1533,0.12275784753363228,0.00616591928251121,0.00040038436899423447,0,0.0032030749519538757,0.0005605381165919282,36.40816326530612,29.13569625622255,0.0,0.16623959000640615,0.0,4,False,False,597,3976,0.817016317016317,3731,1630
41,lyrically,LTIME103A,NOL_LESS,1923,0.1733994589720469,0.005680793507664562,0.0002705139765554554,0,0.0024346257889990984,0.0034265103697024347,36.84385382059801,34.878986864342124,0.0,0.25419296663660956,0.0,3,False,False,451,3627,0.8245393155545382,3169,1489
42,ecnerwala,LTIME103A,NOL_LESS,2110,0.14032054266143512,0.00458868125290949,0.0002660105074150429,0,0.0035246392232493183,0.0005320210148300858,37.22029702970297,24.190528461331844,0.0,0.2728602779809802,0.0,2,False,False,584,6659,0.833764762983336,4759,2202
43,hitonanode,LTIME103A,NOL_LESS,2513,0.15370970701571962,0.005749587130711359,0.00030582910269741267,0,0.003302954309132057,0.0006116582053948253,45.924157303370784,40.5800966963531,0.0,0.24613126185087772,0.0,3,False,False,675,5264,0.8281355604904895,3968,1683
44,gennady.korotkevich,LTIME103A,INTREENCLR,686,0.16454785320220677,0.005277044854881266,0.000959462700887503,0,0.0011993283761093788,0.00023986567522187575,23.16111111111111,17.638393693836335,0.0,0.2650515711201727,0.0,2,False,False,147,1262,0.8125827814569536,1259,612
45,heno239,LTIME103A,INTREENCLR,896,0.16500920810313074,0.00847145488029466,0.0009208103130755065,0,0.0023941068139963165,0.0014732965009208103,25.61320754716981,15.848975179485361,0.0,0.2541436464088398,0.0,2,False,False,249,2387,0.8327393075356415,1458,640
46,spycheese,LTIME103A,INTREENCLR,993,0.19379391100702575,0.00897736143637783,0.00078064012490242,0,0.003317720530835285,0.0,39.41538461538462,37.49887887870467,0.0,0.2222872755659641,0.0,3,False,False,265,1794,0.8175773344897369,1442,654
47,ksun48,LTIME103A,INTREENCLR,291,0.11762328213419564,0.009296685529506871,0.0016168148746968471,0,0.0016168148746968471,0.0004042037186742118,25.50515463917526,14.440152861615019,0.0,0.37752627324171384,0.0,1,False,False,107,550,0.8521626856036152,536,231
48,noimi,LTIME103A,INTREENCLR,3081,0.13149807938540334,0.005292360221937686,0.0002134016218523261,0,0.0018352539479300043,0.0008109261630388391,39.180602006688964,36.228568684606444,0.0,0.326419120785318,0.0,2,False,False,851,4359,0.8204368752313957,3299,1445
49,rubikun,LTIME103A,INTREENCLR,150,0.09861932938856016,0.009861932938856016,0.0019723865877712033,0,0.003287310979618672,0.0,22.36764705882353,16.11986754777425,0.0,0.27481919789612097,0.0,2,False,False,73,736,0.8320503848845346,540,244
50,maroonrk,LTIME103A,INTREENCLR,1549,0.07375136885206875,0.005618245012617245,0.00019044898347855068,0,0.00204732657239442,0.001999714326524782,26.619771863117872,16.91295584711939,0.0,0.24586963767080894,0.0,3,False,False,868,3811,0.8007836990595611,2649,1113
51,tute7627,LTIME103A,INTREENCLR,751,0.08115409552625892,0.00853684893019235,0.0005403068943159715,0,0.004322455154527772,0.0005403068943159715,36.007782101167315,31.519124232078358,0.0,0.12102874432677761,0.0,6,False,False,457,3965,0.8259813840550384,2893,1275
